Round of 16,,,,,,,,,Suggestions,,,,,,,,,,,,,,,F,DT,,,Filter,,,,,,,,,,,A,Round of 16,★6.20,,Mappool Assembly,,,,,,,,,,,
suggest_ids,suggest_mods,pooled_ids,pooled_mods,pooled_picks,pooled_nums,pooled_sugs,pooled_notes,,Map ID/URL,Mod,Suggester,Skillset/Comments,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID,,Mod,Suggester,Skillset/Comments,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID,,Skillset/Notes,Mod,#,Map ID/URL,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID
3032444,HD,3167229,NM,NM,1,kusiu,silly jumps,,3032444,HD,dGeist ,,,Feryquitous - Arcahv [Otosaka's Future],★6.04,191,02:42,1071x,5,9,9,5,3032444,,DT,,,,Ts Mejasi - Zorica (Sped up ver.) [who the fuck je zorica],★6.36,246,01:45,875x,3.8,9.9,9.1,4,3796883,,silly jumps,NM,1,3167229,,Ahomushi - Koko wa Doko [DoKo],★6.21,186,03:28,1326x,4.2,9.3,9,6,3167229
3796883,DT,2810175,NM,NM,2,kusiu,streams,,https://osu.ppy.sh/beatmapsets/1848327#osu/3796883,DT,,,,Ts Mejasi - Zorica (Sped up ver.) [who the fuck je zorica],★6.36,246,01:45,875x,3.8,9.9,9.1,4,3796883,,DT,namriee,dt2 255bpm long bursts,,Eleharmonica remixed by kors k - Der Wald (kors k Remix) [mithew's Light Insane],★6.19,255,01:19,868x,4,10,9.5,4,1478254,,streams,NM,2,2810175,,Maxo - Forsaken City (Sever the Skyline Mix) [B-Side],★6.26,182,02:23,1515x,4,9.4,8.6,5,2810175
3544716,HR,3562538,NM,NM,3,kusiu,alt,,3544716,HR,dGeist,i pooled this in 6.3* may be easier if you can stream ,,SMiLE.dk - butterfly (UPSWING MIX) [expert (YOKES' MIX)],★5.99,170,01:20,648x,6.5,10,10,7,3544716,,DT,namriee,const finger control dt3?,,DJ Fresh (feat. Rita Ora) - Hot Right Now (Radio Edit) [Kysphyxia's Insane],★6.23,263,01:56,1053x,4,10,9.8,6.5,539090,,alt,NM,3,3562538,,Midnight Grand Orchestra - SOS [Startrail],★5.87,142,03:19,1352x,4,9.2,8.5,5,3562538
445177,HR,4014152,NM,NM,4,kusiu,tech,,445177,HR,Kiro,Maybe at some points of the map kinda hard ,,Warak - REANIMATE [Extreme],★5.99,174,02:29,965x,6.5,10,9.8,8.4,445177,,DT,namriee,really funky dt3 all figner control with awk aim,,Sound Souler - Paradise [Hobbes2's Insane],★6.19,189,01:27,709x,3.4,9.9,9.1,5,1551175,,tech,NM,4,4014152,,seatrus - ILLEGAL LEGACY [TVRemote's EXTRA],★5.83,180,02:18,1314x,4.2,9.5,8.5,5,4014152
2271666,HR,3155328,NM,NM,5,,speed,,2271666,HR,Kiro,Might be kinda hard with the speed up,,Frums - 24eeev0-$ [bpm(1) = 100; for (i = 2 : 24) {bpm(i) = bpm(i-1) + 8 + (floor((i-1) / 6) * 3)}],★5.98,100,02:14,1022x,5.9,10,10,8.4,2271666,,DT,namriee,overused dt2 240bpm shortstreams,,senya - Kimi to Dareka no Yasashisa ni [Affection],★6.28,240,02:02,1039x,4,10,9.1,6,596161,,speed,NM,5,3155328,,MisoilePunch - Aurolla [INFINITE],★6.17,235,01:54,1026x,3.8,9.5,8,5,3155328
2741605,HD,3955723,HD,HD,1,kusiu,awk aim,,2741605,HD,Kiro,Fingercontrol+Reading,,syatten remixed celas - Bird Sprite -Awakening of Light- [LMT's Extra],★5.79,182,01:45,724x,5,8,8,6,2741605,,DT,kusiu,dt3,,yak_won - Sewing Machine [Insane],★6.37,225,01:23,936x,4.5,9.7,9.1,5,772983,,awk aim,HD,1,3955723,,FELT - Summer Fever [LeCandy's Extra],★6.12,240,03:46,1648x,4,9.4,9,5.6,3955723
589969,NM,3350321,HD,HD,2,kusiu,ar 8,,589969,NM,Kiro,NM 2,,Yuyoyuppe - AiAe [Eternal],★6.07,180,03:32,2228x,4,9.3,8,6.3,589969,,DT,kusiu,dt2 - the last resort,,ALiCE'S EMOTiON - Foughten Field [Lunatic],★6.35,255,02:36,1350x,4,10.1,9.8,6,806465,,ar 8,HD,2,3350321,,Down - Luscent [Another],★5.53,170,02:20,928x,4,8,8,5,3350321
2908767,NM,3499884,HD,HD,3,,alt / flow aim,,2908767,NM,Kiro,NM 4 with a little bit alt in it,,POLKADOT STINGRAY - Keshin [Decateurrgurtt's Expert],★5.89,160,03:03,1483x,3.8,9.4,8.4,5,2908767,,DT,suki,dt1,,MIMI - Shijima ni Saku (Cut Ver.) [Insane],★6.17,264,00:45,297x,4,10,9.8,6,2889075,,alt / flow aim,HD,3,3499884,,Grand Thaw - Aventyr [Rua (For tournament)],★5.73,132,02:21,947x,4.5,9.3,8,7,3499884
356030,NM,3983491,HR,HR,1,kusiu,this or 1737389,,356030,NM,Kiro,NM 3,,M2U - Masquerade [Extra],★5.90,128,02:14,939x,3,9.3,8,6,356030,,DT,kusiu,dt2,,Wisp X - Final Moments [Ascension to Heaven],★6.30,248,01:42,869x,4,9.7,10,5,3107389,,this or 1737389,HR,1,3983491,,Fellowship - Scars and Shrapnel Wounds [iamtickrate's Extra],★6.28,200,03:48,1837x,4.9,10,10,7,3983491
3316275,FM,3544716,HR,HR,2,dGeist,cs 6.5 aim precision ,,3316275,FM,suki,fm1,,bbno$ x diamond pistols - help herself (with BENEE) [Collab Insane],★4.54,168,02:14,635x,4,9,7.8,5.5,3316275,,,,,,,,,,,,,,,,,cs 6.5 aim precision ,HR,2,3544716,,SMiLE.dk - butterfly (UPSWING MIX) [expert (YOKES' MIX)],★5.99,170,01:20,648x,6.5,10,10,7,3544716
2686355,NM,1649482,HR,HR,3,kusiu,tech aim,,https://osu.ppy.sh/beatmapsets/1294617#osu/2686355,NM,Fesco,nm3 ,,Eve - raison d'etre [sylvarus' extra],★6.02,152,03:31,1307x,4.4,9.3,8.7,6,2686355,,,,,,,,,,,,,,,,,tech aim,HR,3,1649482,,Dictate - Militant [Extra],★5.95,172,02:31,936x,5.5,10,10,8.4,1649482
2193364,NM,3316275,DT,DT,1,suki,high ar aim,,https://osu.ppy.sh/beatmapsets/1049418#osu/2193364,NM,Fesco,nm1,,Kyary Pamyu Pamyu - Furisodation [I don't wanna be adult >...<],★6.25,200,03:55,1564x,4,9.3,9,6,2193364,,,,,,,,,,,,,,,,,high ar aim,DT,1,3316275,,bbno$ x diamond pistols - help herself (with BENEE) [Collab Insane],★6.30,252,01:29,635x,4,10.3,9.6,5.5,3316275
3853357,HD,3107389,DT,DT,2,kusiu,,,3853357,HD,Suki,hd2,,SHK - S.Y.S.T.E.M [osuways05's SHD],★5.51,140,02:12,909x,4,8,8.5,4.5,3853357,,,,,,,,,,,,,,,,,,DT,2,3107389,,Wisp X - Final Moments [Ascension to Heaven],★6.30,247.5,01:42,869x,4,9.7,10,5,3107389
3643054,NM,3524604,DT,DT,3,,stamina,,https://osu.ppy.sh/beatmapsets/1368404#osu/3643054,NM,Fesco,nm1,,Kito Akari - Desire Again [Flame Haze's Extra],★6.24,191,03:54,1595x,4,9.3,8.7,5,3643054,,,,,,,,,,,,,,,,,stamina,DT,3,3524604,,DIANA - Beethoven Virus [Insane],★6.27,234,02:23,1328x,4,9.7,9.4,5.6,3524604
3752950,HD,3449357,FM,FM,1,Convex,Awk aim,,3752950,HD,suki,hd1,,Shikiura. - Karada wa Shoujiki datte Ittenno [-45's Expert],★6.16,120,02:13,966x,4,9.3,9,7,3752950,,,,,,,,,,,,,,,,,Awk aim,FM,1,3449357,,Morimori Atsushi - Txxs or get the fxxk out!! [Down's Extra],★5.79,220,02:25,1100x,4,9.3,8,5,3449357
