,,,,convex likes men,,,,,,,,,,,,,,
,Qualifiers,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Pick,Banner,,ARTIST - TITLE [DIFF],MAPPER,,MAP ID,SR,BPM,DRAIN,,CS,AR,OD,,,,
,NM1,,,BAND-MAID - DICE [X],Meg,,2284524,★6.51,180,03:42,,3.9,9.5,9,,,,
,NM2,,,Kuki Akumu - Ki ga Kurutta Noise [Emotions],Astronic,,3205535,★6.52,180,02:19,,4.6,9.5,9,,,,
,NM3,,,halca - Darekare Scramble [gazimal's Extra],Matsuyuki Ame,,3714678,★6.23,150,04:21,,3.5,9.4,8.8,,,,
,NM4,,,Function Phantom - Index (feat. Thinktec) [0pp's Extra],PaRaDogi,,3061893,★5.95,172,02:01,,3.8,9.5,8,,,,
,HD1,,,Akatsuki Records - KARMANATIONS [Reincarnation],-Rik-,,2665294,★6.45,192,03:45,,4,9.3,9,,,,
,HD2,,,IOSYS - Cirno's Perfect Math Class [Reading Class],lexa on osu,,3093649,★5.90,175,02:01,,4,8,8,,,,
,HR1,,,ELFENSJoN - Hyousou wa Hakuen o Matoite [Extra],Affirmation,,2323381,★6.42,209,03:27,,5.2,10,10,,,,
,HR2,,,Nekomata Master - fallen leaves -NOSTALGIA edition- [Bakugo-'s Expert],Krimek,,3536176,★6.29,165,01:45,,6.5,10,10,,,,
,DT1,,,Ohara Yuiko - Only [Fantasy],_Karaage,,3425294,★6.47,225,02:13,,4,10.3,9.6,,,,
,DT2,,,Hanazono Mei - Kurenai Fubuki [Collab Insane],Nao Tomori,,3167236,★6.41,255,02:33,,4,9.9,9.4,,,,
,Round of 32,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Pick,Banner,,ARTIST - TITLE [DIFF],MAPPER,,MAP ID,SR,BPM,DRAIN,,CS,AR,OD,,,,
,NM1,,,TUYU - Kako ni Torawarete Iru [Seclusion],Keqing,,2589321,★6.07,180,03:41,,4.2,9.2,8.6,,,,
,NM2,,,Monrroe - You Got Me (ft. Alexa Harley) [electricity 1.05x],evth,,3892045,★6.06,183,03:47,,4.1,9.5,8.5,,,,
,NM3,,,LiSA - Gurenge [Collab Extra],KKipalt,,3107394,★5.68,135,03:41,,4,9.4,8.6,,,,
,NM4,,,Culprate & Dictate - Pencilina [Metro],ScubDomino,,1590460,★5.41,172,02:50,,4.5,9.5,8.5,,,,
,HD1,,,EYE RH - The Red Coronation [Calamity],DeviousPanda,,1481797,★5.65,154,02:21,,4.5,9.2,8,,,,
,HD2,,,KOTOKO - jihad [Insane+],Mariko Sakuragi,,2371574,★5.45,180,04:05,,4,8,8,,,,
,HR1,,,Meychan x Gero - MATORYOSHKA [Battle's Extra],Nevo,,3810082,★6.14,205,03:12,,5.2,10,10,,,,
,HR2,,,PinocchioP feat. Hatsune Miku - Ghosts Play to the Audience [Fright],AJT,,3021082,★5.74,148,03:32,,6.5,10,10,,,,
,DT1,,,TRUE - Sincerely [Emotion],Kalibe,,1548159,★5.93,108,02:56,,4.2,10.3,9.8,,,,
,DT2,,,Ts Mejasi - Zorica (Sped up ver.) [who the fuck je zorica],mizto,,3796883,★6.36,246,01:45,,3.8,9.9,9.1,,,,
,FM1,,,Good Kid - Atlas [Shiny Braixen's Expert],wafer,,3701686,★5.43,208,02:14,,4,9.3,8.5,,,,
,FM2,,,jihnius - Cutting Circles [Ridiculous],Flux3on,,3204488,★5.31,160,01:39,,5,8,8,,,,
,TB,,,Pizuya's Cell feat. Futoumeido - NOiSE [dahkjdas' Extra],SuperBox,,3158333,★6.14,203,04:40,,4,9,8.5,,,,
