User ID,Player,Discord,Team,Time Zone,Unique
6131258,-ether-,ether#1745,:bounceh:,UTC-6,:bounceh:
8543980,FluffyEcho,fuwa#9333,:bounceh:,UTC-6,:coldcat:
11255340,FlatPaper,FlatPaper#3462,:bounceh:,UTC-6,:fire:**T E Z I**:fire:
5584603,SaIad,Salad#0148,:bounceh:,UTC-6,:MadelineSpinning:
694480,Hakumo Ai,Hakumo Ai#8449,:coldcat:,+8,:norcal:
5179557,Hakumo Shiro,Hakumo Shiro#1906,:coldcat:,+8,10 things i hate about OSU
10500832,[Crz]xz1z1z,xz1z1z1z1z#4057,:coldcat:,+8,Agalethiar-
4464845,Aimseky,Aimseky#6940,:coldcat:,+8,Akahito fanclub
4801735,Dragbit 5,Nocy#7845,:fire:**T E Z I**:fire:,+8,anything
12585858,INFERNO TOWER,Chadstolfo#8990,:fire:**T E Z I**:fire:,+8,Asado
18224888,CLASH OF CLANS,scf#2876,:fire:**T E Z I**:fire:,+8,Baksal
17865200,-shiina-,-Tamiki-#5397,:fire:**T E Z I**:fire:,+8,Bald Island
11129041,XiaoMyMommy,Draxarta#6502,:MadelineSpinning:,+1/+2,Best Baltic Country
13935409,BioTyC,BioTyC#4442,:MadelineSpinning:,+1/+2,Best Friends 1
16420104,Mimil,Mimil#8713,:MadelineSpinning:,+1/+2,Blue it
4529885,Kotonashi,타에#2689,:norcal:,-8UTC,Bring Back 5* Pools
11613306,AnnoyingManiac,Cursing#4850,:norcal:,-8UTC,Černý tým
4209818,Azurium,Skyzur#3751,:norcal:,-8UTC,continue the heist
9526124,Haxagon,Haxagon#4829,:norcal:,-8UTC,DT DISABLED
14899675,DaNILMaZ1,O KURWA#5537,10 things i hate about OSU,+2 UTC,Finno-Korean Hyperwar
14106178,KillomTry,KillomTry#8967,10 things i hate about OSU,+2 UTC,fisheggs
15213299,igrokpepe,artem robobot#5505,10 things i hate about OSU,+2 UTC,Gehstock Gaming
23743938,derzko,金木研 derzko#2457,10 things i hate about OSU,+2 UTC,German Ohio
3645490,Agagak,Raven#2438,Agalethiar-,+8UTC,goblin.
13626098,Jolene,Kizuna#8937,Agalethiar-,+8UTC,guh??
11918602,Blethz,Blethz#0292,Agalethiar-,+8UTC,Hayley ultrasound waiting room
10474988,Mashima Himeko,Caviar#5553,Agalethiar-,+8UTC,headman — Today at 20:05 how bout menty fucked ur mother 
9448341,Akahito,Akahito#8507,Akahito fanclub,+1,Hidden Players
13757181,_Ecly,Ecly#8721,Akahito fanclub,+1,hihihihi bad acc speed players
947742,parlophone,parlophone#3537,Akahito fanclub,+1,https://youtu.be/0lsDoRtFcsw
14069730,Arisaka Mashiro,Kiara ♡#1466,Akahito fanclub,+1,I'm bad at that
15516059,ProjectGreat,プロジェクトグレート#5290,anything,+8UTC,imgur.com/a/SekYkmB
15195364,hollowknees,hollow#9901,anything,+8UTC,Jalmoranas
12261210,fausion,fausion#0452,anything,+8UTC,JanGang
15252736,Unibrick,unibrick#7187,anything,+8UTC,Kolwna tis DEH
16535905,Daniel11PTY,! Joseph#6867,Asado,-5UTC,L Farmers
18962732,Sirny,Sirny#2508,Asado,-5UTC,Lubię ich młodych.
18847055,Reflectioned,refs #9441,Asado,-5UTC,Menaces
17545095,NE0CRAFT,neocraft#4028,Asado,-5UTC,Meowrki
114017,KRZY,Aprichel#9060,Baksal,utc+9,Mikubara
757783,Garalulu,Garalulu#0001,Baksal,utc+9,Milk
1274798,MoNaMiC,주넌#6708,Baksal,utc+9,MOG CITY
14174951,Heony,Heon#0371,Baksal,utc+9,my kittens
11658236,Vexion 2,Setsukue#7877,Bald Island,UTC-4,no idea ;3
10157694,-felicia,Checha#2476,Bald Island,UTC-4,Operation give Musket a team
18207356,-lexi,Theory ♡#7503,Bald Island,UTC-4,osu chefs 🧑‍🍳
6898948,Watr,Eric#5582,Bald Island,UTC-4,Pa amb tomaquet
10470806,TheBigDrop,Drop#7224,Best Baltic Country,+2UTC,PagMan
11342324,StellarOW,Stellar #1774,Best Baltic Country,+2UTC,pick hd2
7894397,xCyano_,seichii #0696,Best Baltic Country,+2UTC,PiPoPiPoPaPiPoPe
10816682,EsPadodos,EsPadodos#6906,Best Baltic Country,+2UTC,plushki
11580377,Fair Trade,Aidinth#2621,Best Friends 1,-6/+ 9,Poland D
12325702,tairizu19,kino#0395,Best Friends 1,-6/+ 9,puzo
14294171,lolitskoryn,lolitskoryn#0754,Best Friends 1,-6/+ 9,Retirement Home
14025454,St3kiii,St3kiii#6903,Best Friends 1,-6/+ 9,Shiba Inu
11959709,CallMeRed,Exacque#5700,Blue it,UTC+3,sightreaders
22461441,3BDOOO,3BDOOO#5621,Blue it,UTC+3,Sputnik Temple I
10509043,P r a h,P r a h#0691,Blue it,UTC+3,Sputnik Temple II
4604369,KC Aqua,aqua#6287,Blue it,UTC+3,THE Poopers
9498319,Gamecube08,gamecube08#4318,Bring Back 5* Pools,+11UTC,The stationaries
10870989,Alpama,Alpama #0322,Bring Back 5* Pools,+11UTC,The Texas Royal Family
13344402,Radial,Radial#1091,Bring Back 5* Pools,+11UTC,Tornadowashingbears
13228917,oslash,oslash#5872,Bring Back 5* Pools,+11UTC,torru sleep schedule
10949503,Eiko Tsukimi,crazY159#2988,Černý tým,+1UTC,UNIDAS PODEMOS
19623071,Sat info,Sat Info#0444,Černý tým,+1UTC,vgfdsgdfdg
11478426,Dri3x,Dri3x#5934,Černý tým,+1UTC,Waldschrein Kids
15063171,Lowke1,Miron#8769,Černý tým,+1UTC,when the bnuuy
5427223,flag_kr,solar#0006,continue the heist,UTC-6,ZAZA METHOD
12201636,rety,rety#0530,continue the heist,UTC-6,
10350809,iamanewb,iamanewb#2096,continue the heist,UTC-6,
2767636,Justin Vega,Justin_Vega#0039,continue the heist,UTC-6,
6639059,P4ndemonium,P4ndemonium#4689,DT DISABLED,+8UTC,
10522193,lifehax,boomed out down bad#0980,DT DISABLED,+8UTC,
10862128,lweexe,lweexe#9397,DT DISABLED,+8UTC,
16652552,king_duckling,king_duckling#2851,DT DISABLED,+8UTC,
2935432,Aruka,Aruka#1297,Finno-Korean Hyperwar,UTC+2 - UTC+9,
7852852,vo_ine,mx10000#9027,Finno-Korean Hyperwar,UTC+2 - UTC+9,
12047944,yimi,jimi#4326,Finno-Korean Hyperwar,UTC+2 - UTC+9,
9523661,Tabletti,Tabletti#8250,Finno-Korean Hyperwar,UTC+2 - UTC+9,
12045415,Redbirdkai,rrohe#5670,fisheggs,-4UTC,
10287120,Tonatious,Tonatious#8351,fisheggs,-4UTC,
2893747,LegitKorea,LegitKorea#0089,fisheggs,-4UTC,
7616811,Toaph Daddy,TheToaphster#2613,fisheggs,-4UTC,
6499356,salkin,Salkin#8474,Gehstock Gaming,UTC+1,
13264148,Magma,CrunexX#5116,Gehstock Gaming,UTC+1,
3460534,DGmG,DGmG#7657,Gehstock Gaming,UTC+1,
8492399,Skyfox,Skyfox#8695,Gehstock Gaming,UTC+1,
12528614,WideCat_,WideCat#0727,German Ohio,+1UTC,
19526504,Enjouji,Enjouji#2500,German Ohio,+1UTC,
8712569,StRikErFlex,strikerflex#0776,German Ohio,+1UTC,
3249839,Strecka,.Strecka#4663,German Ohio,+1UTC,
3786620,Pickxarro,Pickxarro#6631,goblin.,+2UTC,
15392570,Musa,Musa឵#9957,goblin.,+2UTC,
2073320,Tpee,Tpee#5342,goblin.,+2UTC,
9634978,CPU_Cartel,Cartel#4995,goblin.,+2UTC,
10941597,Zenyr,Zenyr#1476,guh??,UTC-5,
9459674,Ice Shark,макc#3072,guh??,UTC-5,
12086452,Tile,Tilenal#8790,guh??,UTC-5,
9507565,N1ghtbeat,N1ghtbeat#0001,guh??,UTC-5,
11906790,Bae My Beloved,Insurgentz#0084,Hayley ultrasound waiting room,+10UTC,
7588992,TheTopaz,TheTopaz#8193,Hayley ultrasound waiting room,+10UTC,
14754208,yogurt hose,KUSH RAID#1817,Hayley ultrasound waiting room,+10UTC,
17720805,hayley,haybale#3188,Hayley ultrasound waiting room,+10UTC,
8401905,Ramon,ramon#4362,headman — Today at 20:05 how bout menty fucked ur mother ,+1,
3619284,Menty,Menty#1962,headman — Today at 20:05 how bout menty fucked ur mother ,+1,
10526814,Luminiscental,Luminiscental#6851,headman — Today at 20:05 how bout menty fucked ur mother ,+1,
11706350,(#Restricted),Tuco#6498,headman — Today at 20:05 how bout menty fucked ur mother ,+1,
16951468,6 Digit,Aysol#7270,Hidden Players,UTC -6 UTC -8,
21229598,Stereos,Stereo#0005,Hidden Players,UTC -6 UTC -8,
14188203,Ukii_Chan,Ukii#7031,Hidden Players,UTC -6 UTC -8,
15928955,JPR,sync#8803,Hidden Players,UTC -6 UTC -8,
5274116,_shuuen_,_shuuen_#3216,hihihihi bad acc speed players,+4UTC,
8876938,_kaie,kaie#3515,hihihihi bad acc speed players,+4UTC,
8268978,Raptide,Nils#1054,hihihihi bad acc speed players,+4UTC,
21653406,hihihaha142,spoketoosooh#5529,hihihihi bad acc speed players,+4UTC,
9383377,Snowpoint,snowpoint!!#3251,https://youtu.be/0lsDoRtFcsw,+11,
3222676,zzzbored,zzzbored#0285,https://youtu.be/0lsDoRtFcsw,+11,
10343292,Zeph2003,Zeph2003#5287,https://youtu.be/0lsDoRtFcsw,+11,
7390726,LaiR,01#2155,https://youtu.be/0lsDoRtFcsw,+11,
18947222,CLAPSSS,CLAPS#4188,I'm bad at that,UTC-5 (est),
13888092,[Mocha],hanbinlee#9055,I'm bad at that,UTC-5 (est),
1743136,Consistent,Consistent#2753,I'm bad at that,UTC-5 (est),
14915029,confusion,cry#0666,I'm bad at that,UTC-5 (est),
11633961,HitomiChan_,HitomiChan_#1567,imgur.com/a/SekYkmB,-5,
8191845,Stage,Stage#0001,imgur.com/a/SekYkmB,-5,
10224047,Emerald Ages,Emerald Ages#2464,imgur.com/a/SekYkmB,-5,
12476276,Pckid101,marshmary#6520,imgur.com/a/SekYkmB,-5,
10442993,Hinatsuru Ai,Franzuu#6904,Jalmoranas,+8UTC,
14916935,rwnd_,rwnd#2209,Jalmoranas,+8UTC,
7991329,Miyazumi,Miyazumi#0963,Jalmoranas,+8UTC,
2558163,-Myhra,Rhytherra#8491,Jalmoranas,+8UTC,
3471120,Kyupou,Kyupou#5150,JanGang,+3,
6658273,Bisuke,Lain#8558,JanGang,+3,
11661764,Pokin,Pokin#5100,JanGang,+3,
13372743,_yogu,Yogu#0002,JanGang,+3,
9008423,Gexie,Gexie#3547,Kolwna tis DEH,UTC+2,
7742067,SpokenAway,SpokenAway#8433,Kolwna tis DEH,UTC+2,
2559954,- VayKay -,VK#2104,Kolwna tis DEH,UTC+2,
7528685,Hiken,Hiken#2310,Kolwna tis DEH,UTC+2,
14162590,hetamaaj,hetamaaj#2480,L Farmers,-5UTC,
15350927,flylo,flyio#3337,L Farmers,-5UTC,
20630250,Stage my mommy,Stage my mommy#0727,Lubię ich młodych.,-1,
